id,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,if_anomaly
230,0.537,0.0,6.2,0.0,0.504,5.981,68.1,3.6715,8.0,307.0,17.4,378.35,11.65,1
231,0.46296,0.0,6.2,0.0,0.504,7.412000000000001,76.9,3.6715,8.0,307.0,17.4,376.14,5.25,1
232,0.57529,0.0,6.2,0.0,0.507,8.337,73.3,3.8384,8.0,307.0,17.4,385.91,2.47,1
233,0.33147,0.0,6.2,0.0,0.507,8.247,70.4,3.6519,8.0,307.0,17.4,378.95,3.95,1
234,0.44791,0.0,6.2,1.0,0.507,6.726,66.5,3.6519,8.0,307.0,17.4,360.2,8.05,1
235,0.33045,0.0,6.2,0.0,0.507,6.086,61.5,3.6519,8.0,307.0,17.4,376.75,10.88,1
236,0.52058,0.0,6.2,1.0,0.507,6.631,76.5,4.148,8.0,307.0,17.4,388.45,9.54,1
237,0.51183,0.0,6.2,0.0,0.507,7.358,71.6,4.148,8.0,307.0,17.4,390.07,4.73,1
238,0.08244,30.0,4.93,0.0,0.428,6.481,18.5,6.1899,6.0,300.0,16.6,379.41,6.36,1
239,0.09252,30.0,4.93,0.0,0.428,6.606,42.2,6.1899,6.0,300.0,16.6,383.78,7.37,1
240,0.11329000000000003,30.0,4.93,0.0,0.428,6.897,54.3,6.3361,6.0,300.0,16.6,391.25,11.38,1
241,0.10612,30.0,4.93,0.0,0.428,6.095,65.1,6.3361,6.0,300.0,16.6,394.62,12.4,1
242,0.1029,30.0,4.93,0.0,0.428,6.358,52.9,7.0355,6.0,300.0,16.6,372.75,11.22,1
243,0.12757000000000002,30.0,4.93,0.0,0.428,6.393,7.8,7.0355,6.0,300.0,16.6,374.71,5.19,1
244,0.20608,22.0,5.86,0.0,0.431,5.593,76.5,7.9549,7.0,330.0,19.1,372.49,12.5,1
245,0.19133,22.0,5.86,0.0,0.431,5.605,70.2,7.9549,7.0,330.0,19.1,389.13,18.46,1
246,0.33983,22.0,5.86,0.0,0.431,6.108,34.9,8.0555,7.0,330.0,19.1,390.18,9.16,1
247,0.19657,22.0,5.86,0.0,0.431,6.226,79.2,8.0555,7.0,330.0,19.1,376.14,10.15,1
248,0.16439,22.0,5.86,0.0,0.431,6.433,49.1,7.8265,7.0,330.0,19.1,374.71,9.52,1
249,0.19073,22.0,5.86,0.0,0.431,6.718,17.5,7.8265,7.0,330.0,19.1,393.74,6.56,1
250,0.1403,22.0,5.86,0.0,0.431,6.487,13.0,7.3967,7.0,330.0,19.1,396.28,5.9,1
251,0.21409,22.0,5.86,0.0,0.431,6.438,8.9,7.3967,7.0,330.0,19.1,377.07,3.59,1
252,0.08221,22.0,5.86,0.0,0.431,6.957000000000002,6.8,8.9067,7.0,330.0,19.1,386.09,3.53,1
253,0.36894,22.0,5.86,0.0,0.431,8.259,8.4,8.9067,7.0,330.0,19.1,396.9,3.54,1
254,0.04819,80.0,3.64,0.0,0.392,6.108,32.0,9.2203,1.0,315.0,16.4,392.89,6.57,1
255,0.035480000000000005,80.0,3.64,0.0,0.392,5.876,19.1,9.2203,1.0,315.0,16.4,395.18,9.25,1
256,0.01538,90.0,3.75,0.0,0.394,7.454,34.2,6.3361,3.0,244.0,15.9,386.34,3.11,1
257,0.61154,20.0,3.97,0.0,0.647,8.704,86.9,1.801,5.0,264.0,13.0,389.7,5.12,1
258,0.66351,20.0,3.97,0.0,0.647,7.332999999999998,100.0,1.8946,5.0,264.0,13.0,383.29,7.79,1
259,0.65665,20.0,3.97,0.0,0.647,6.8420000000000005,100.0,2.0107,5.0,264.0,13.0,391.93,6.9,1
260,0.5401100000000001,20.0,3.97,0.0,0.647,7.2029999999999985,81.8,2.1121,5.0,264.0,13.0,392.8,9.59,1
261,0.5341199999999999,20.0,3.97,0.0,0.647,7.52,89.4,2.1398,5.0,264.0,13.0,388.37,7.26,1
262,0.5201399999999999,20.0,3.97,0.0,0.647,8.398,91.5,2.2885,5.0,264.0,13.0,386.86,5.91,1
263,0.82526,20.0,3.97,0.0,0.647,7.327000000000001,94.5,2.0788,5.0,264.0,13.0,393.42,11.25,1
264,0.55007,20.0,3.97,0.0,0.647,7.206,91.6,1.9301,5.0,264.0,13.0,387.89,8.1,1
265,0.76162,20.0,3.97,0.0,0.647,5.56,62.8,1.9865,5.0,264.0,13.0,392.4,10.45,1
266,0.7857,20.0,3.97,0.0,0.647,7.0139999999999985,84.6,2.1329,5.0,264.0,13.0,384.07,14.79,1
267,0.57834,20.0,3.97,0.0,0.575,8.297,67.0,2.4216,5.0,264.0,13.0,384.54,7.44,1
268,0.5405,20.0,3.97,0.0,0.575,7.47,52.6,2.872,5.0,264.0,13.0,390.3,3.16,1
269,0.09065,20.0,6.96,1.0,0.464,5.92,61.5,3.9175,3.0,223.0,18.6,391.34,13.65,1
270,0.29916,20.0,6.96,0.0,0.464,5.856,42.1,4.4289999999999985,3.0,223.0,18.6,388.65,13.0,1
271,0.16211,20.0,6.96,0.0,0.464,6.24,16.3,4.4289999999999985,3.0,223.0,18.6,396.9,6.59,1
272,0.1146,20.0,6.96,0.0,0.464,6.5379999999999985,58.7,3.9175,3.0,223.0,18.6,394.96,7.73,1
273,0.22188,20.0,6.96,1.0,0.464,7.691,51.8,4.3665,3.0,223.0,18.6,390.77,6.58,1
274,0.05644,40.0,6.41,1.0,0.447,6.757999999999999,32.9,4.0776,4.0,254.0,17.6,396.9,3.53,1
275,0.09604,40.0,6.41,0.0,0.447,6.854,42.8,4.2673,4.0,254.0,17.6,396.9,2.98,1
276,0.10469,40.0,6.41,1.0,0.447,7.267,49.0,4.7872,4.0,254.0,17.6,389.25,6.05,1
277,0.06127000000000001,40.0,6.41,1.0,0.447,6.8260000000000005,27.6,4.8628,4.0,254.0,17.6,393.45,4.16,1
278,0.07977999999999999,40.0,6.41,0.0,0.447,6.482,32.1,4.1403,4.0,254.0,17.6,396.9,7.19,1
279,0.21038,20.0,3.33,0.0,0.4429,6.812,32.2,4.1007,5.0,216.0,14.9,396.9,4.85,1
280,0.03578,20.0,3.33,0.0,0.4429,7.82,64.5,4.6947,5.0,216.0,14.9,387.31,3.76,1
281,0.03705,20.0,3.33,0.0,0.4429,6.968,37.2,5.2447,5.0,216.0,14.9,392.23,4.59,1
282,0.06129,20.0,3.33,1.0,0.4429,7.645,49.7,5.2119,5.0,216.0,14.9,377.07,3.01,-1
283,0.01501,90.0,1.21,1.0,0.401,7.922999999999999,24.8,5.885,1.0,198.0,13.6,395.52,3.16,-1
284,0.00906,90.0,2.97,0.0,0.4,7.087999999999999,20.8,7.3073,1.0,285.0,15.3,394.72,7.85,1
285,0.01096,55.0,2.25,0.0,0.389,6.4529999999999985,31.9,7.3073,1.0,300.0,15.3,394.72,8.23,1
286,0.01965,80.0,1.76,0.0,0.385,6.23,31.5,9.0892,1.0,241.0,18.2,341.6,12.93,-1
287,0.03871,52.5,5.32,0.0,0.405,6.209,31.3,7.3172,6.0,293.0,16.6,396.9,7.14,1
288,0.0459,52.5,5.32,0.0,0.405,6.315,45.6,7.3172,6.0,293.0,16.6,396.9,7.6,1
289,0.04297,52.5,5.32,0.0,0.405,6.565,22.9,7.3172,6.0,293.0,16.6,371.72,9.51,1
290,0.03502,80.0,4.95,0.0,0.411,6.8610000000000015,27.9,5.1167,4.0,245.0,19.2,396.9,3.33,1
291,0.07886,80.0,4.95,0.0,0.411,7.148,27.7,5.1167,4.0,245.0,19.2,396.9,3.56,1
292,0.03615,80.0,4.95,0.0,0.411,6.63,23.4,5.1167,4.0,245.0,19.2,396.9,4.7,1
293,0.08265,0.0,13.92,0.0,0.4370000000000001,6.127000000000002,18.4,5.5027,4.0,289.0,16.0,396.9,8.58,1
294,0.08199,0.0,13.92,0.0,0.4370000000000001,6.009,42.3,5.5027,4.0,289.0,16.0,396.9,10.4,1
295,0.12932000000000002,0.0,13.92,0.0,0.4370000000000001,6.678,31.1,5.9604,4.0,289.0,16.0,396.9,6.27,1
296,0.05372,0.0,13.92,0.0,0.4370000000000001,6.549,51.0,5.9604,4.0,289.0,16.0,392.85,7.39,1
297,0.14103,0.0,13.92,0.0,0.4370000000000001,5.79,58.0,6.32,4.0,289.0,16.0,396.9,15.84,1
298,0.06466000000000001,70.0,2.24,0.0,0.4,6.345,20.1,7.8278,5.0,358.0,14.8,368.24,4.97,1
299,0.05561,70.0,2.24,0.0,0.4,7.041,10.0,7.8278,5.0,358.0,14.8,371.58,4.74,1
300,0.04417,70.0,2.24,0.0,0.4,6.871,47.4,7.8278,5.0,358.0,14.8,390.86,6.07,1
301,0.03537,34.0,6.09,0.0,0.433,6.59,40.4,5.4917,7.0,329.0,16.1,395.75,9.5,1
302,0.09266,34.0,6.09,0.0,0.433,6.495,18.4,5.4917,7.0,329.0,16.1,383.61,8.67,1
303,0.1,34.0,6.09,0.0,0.433,6.982,17.7,5.4917,7.0,329.0,16.1,390.43,4.86,1
304,0.05515,33.0,2.18,0.0,0.472,7.2360000000000015,41.1,4.022,7.0,222.0,18.4,393.68,6.93,1
305,0.05479,33.0,2.18,0.0,0.472,6.6160000000000005,58.1,3.37,7.0,222.0,18.4,393.36,8.93,1
306,0.07503,33.0,2.18,0.0,0.472,7.42,71.9,3.0992,7.0,222.0,18.4,396.9,6.47,1
307,0.04932,33.0,2.18,0.0,0.472,6.849,70.3,3.1827,7.0,222.0,18.4,396.9,7.53,1
308,0.49298,0.0,9.9,0.0,0.544,6.635,82.5,3.3175,4.0,304.0,18.4,396.9,4.54,1
309,0.3494,0.0,9.9,0.0,0.544,5.972,76.7,3.1025,4.0,304.0,18.4,396.24,9.97,1
310,2.63548,0.0,9.9,0.0,0.544,4.973,37.8,2.5194,4.0,304.0,18.4,350.45,12.64,1
311,0.7904100000000001,0.0,9.9,0.0,0.544,6.122000000000001,52.8,2.6403,4.0,304.0,18.4,396.9,5.98,1
312,0.26169000000000003,0.0,9.9,0.0,0.544,6.023,90.4,2.834,4.0,304.0,18.4,396.3,11.72,1
313,0.26938,0.0,9.9,0.0,0.544,6.266,82.8,3.2628,4.0,304.0,18.4,393.39,7.9,1
314,0.3692,0.0,9.9,0.0,0.544,6.567,87.3,3.6023,4.0,304.0,18.4,395.69,9.28,1
315,0.25356,0.0,9.9,0.0,0.544,5.705,77.7,3.945,4.0,304.0,18.4,396.42,11.5,1
316,0.31827,0.0,9.9,0.0,0.544,5.914,83.2,3.9986,4.0,304.0,18.4,390.7,18.33,1
317,0.24522,0.0,9.9,0.0,0.544,5.782,71.7,4.0317,4.0,304.0,18.4,396.9,15.94,1
318,0.40202,0.0,9.9,0.0,0.544,6.3820000000000014,67.2,3.5325,4.0,304.0,18.4,395.21,10.36,1
319,0.47547,0.0,9.9,0.0,0.544,6.113,58.8,4.0019,4.0,304.0,18.4,396.23,12.73,1
320,0.1676,0.0,7.38,0.0,0.493,6.426,52.3,4.5404,5.0,287.0,19.6,396.9,7.2,1
321,0.18159,0.0,7.38,0.0,0.493,6.376,54.3,4.5404,5.0,287.0,19.6,396.9,6.87,1
322,0.35114,0.0,7.38,0.0,0.493,6.041,49.9,4.7211,5.0,287.0,19.6,396.9,7.7,1
323,0.28392,0.0,7.38,0.0,0.493,5.707999999999998,74.3,4.7211,5.0,287.0,19.6,391.13,11.74,1
324,0.34109,0.0,7.38,0.0,0.493,6.415,40.1,4.7211,5.0,287.0,19.6,396.9,6.12,1
325,0.19186,0.0,7.38,0.0,0.493,6.431,14.7,5.4159,5.0,287.0,19.6,393.68,5.08,1
326,0.30347,0.0,7.38,0.0,0.493,6.312,28.9,5.4159,5.0,287.0,19.6,396.9,6.15,1
327,0.24103,0.0,7.38,0.0,0.493,6.082999999999998,43.7,5.4159,5.0,287.0,19.6,396.9,12.79,1
328,0.06617,0.0,3.24,0.0,0.46,5.8679999999999986,25.8,5.2146,4.0,430.0,16.9,382.44,9.97,1
329,0.06724,0.0,3.24,0.0,0.46,6.332999999999998,17.2,5.2146,4.0,430.0,16.9,375.21,7.34,1
330,0.04544,0.0,3.24,0.0,0.46,6.144,32.2,5.8736,4.0,430.0,16.9,368.57,9.09,1
331,0.05023,35.0,6.06,0.0,0.4379,5.706,28.4,6.6407,1.0,304.0,16.9,394.02,12.43,1
332,0.03466,35.0,6.06,0.0,0.4379,6.0310000000000015,23.3,6.6407,1.0,304.0,16.9,362.25,7.83,1
333,0.05083,0.0,5.19,0.0,0.515,6.316,38.1,6.4584,5.0,224.0,20.2,389.71,5.68,1
334,0.03738,0.0,5.19,0.0,0.515,6.31,38.5,6.4584,5.0,224.0,20.2,389.4,6.75,1
335,0.03961,0.0,5.19,0.0,0.515,6.037000000000001,34.5,5.9853,5.0,224.0,20.2,396.9,8.01,1
336,0.03427,0.0,5.19,0.0,0.515,5.869,46.3,5.2311,5.0,224.0,20.2,396.9,9.8,1
337,0.030410000000000006,0.0,5.19,0.0,0.515,5.895,59.6,5.615,5.0,224.0,20.2,394.81,10.56,1
338,0.03306,0.0,5.19,0.0,0.515,6.059,37.3,4.8122,5.0,224.0,20.2,396.14,8.51,1
339,0.054970000000000005,0.0,5.19,0.0,0.515,5.985,45.4,4.8122,5.0,224.0,20.2,396.9,9.74,1
340,0.06151,0.0,5.19,0.0,0.515,5.968,58.5,4.8122,5.0,224.0,20.2,396.9,9.29,1
341,0.01301,35.0,1.52,0.0,0.442,7.241,49.3,7.0379,1.0,284.0,15.5,394.74,5.49,1
342,0.02498,0.0,1.89,0.0,0.518,6.54,59.7,6.2669,1.0,422.0,15.9,389.96,8.65,1
343,0.02543,55.0,3.78,0.0,0.484,6.6960000000000015,56.4,5.7321,5.0,370.0,17.6,396.9,7.18,1
344,0.03049,55.0,3.78,0.0,0.484,6.874,28.1,6.4654,5.0,370.0,17.6,387.97,4.61,1
345,0.03113,0.0,4.39,0.0,0.442,6.0139999999999985,48.5,8.0136,3.0,352.0,18.8,385.64,10.53,1
346,0.06162,0.0,4.39,0.0,0.442,5.898,52.3,8.0136,3.0,352.0,18.8,364.61,12.67,1
347,0.0187,85.0,4.15,0.0,0.429,6.516,27.7,8.5353,4.0,351.0,17.9,392.43,6.36,1
348,0.01501,80.0,2.01,0.0,0.435,6.635,29.7,8.344,4.0,280.0,17.0,390.94,5.99,1
349,0.02899,40.0,1.25,0.0,0.429,6.939,34.5,8.7921,1.0,335.0,19.7,389.85,5.89,1
350,0.06211000000000001,40.0,1.25,0.0,0.429,6.49,44.4,8.7921,1.0,335.0,19.7,396.9,5.98,1
351,0.0795,60.0,1.69,0.0,0.411,6.579,35.9,10.7103,4.0,411.0,18.3,370.78,5.49,1
352,0.07244,60.0,1.69,0.0,0.411,5.884,18.5,10.7103,4.0,411.0,18.3,392.33,7.79,1
353,0.01709,90.0,2.02,0.0,0.41,6.728,36.1,12.1265,5.0,187.0,17.0,384.46,4.5,1
